,datetime,city,state,country,shape,duration_s,hours,comments,date_p,latitude,longitude
29463,2/15/1993 01:30,zimmerman,mn,us,light,10,10 seconds,very long row of red lights above gravel pit horizon,12/7/2006,45.443298999999996,-93.589962
29465,2/15/1993 24:00,mississippi (rural; location unspecified),ms,us,sphere,300,~5 minutes,squat spheroid ufo with fanlike underside structure and evenly spaced lights around equator of object,12/16/2005,32.354668,-89.398528
29466,2/15/1994 01:00,kern county (near int5+hwy166),ca,us,disk,300,5+ minutes,30ft dia &#44slow rotating disc&#44 on top of  seperate faster rotating triangle- Seen at close range in California.,10/28/2002,35.493727,-118.85968000000001
29469,2/15/1995 04:00,ohio,oh,us,disk,0,no sense of time...,UFO hovered next to us while driving down highway in Ohio&#44 moved behind us and then disappeared,8/5/2001,40.417287,-82.907123
29492,2/15/1998 20:00,newborough (vic&#44 australia),,gb,triangle,60,half an hour,a large triangle with orange lights on each of the three corners,1/28/1999,53.164868000000006,-4.359065
29493,2/15/1998 23:00,fort lewis,wa,,,6300,45mins to 1hr,MILITARY SIGHTING BY BRITISH SERVICEMEN IN FORT LEWIS,8/19/2000,0.0,0.0
29495,2/15/1998 23:35,toledo/maumee,oh,us,other,150,2.5 minutes,Large almost silent craftLarge Dark colored UFO. Chased by two Ohio Air National Guard F-16&#39s.,1/28/1999,41.599581,-83.589602
29497,2/15/1999 19:00,hopkington,ri,us,triangle,900,15 minutes,At 1900 hours on the evening of 02Feb.1999&#44 I spotted a triangular craft moving slowly and silently at about 100 feet. This was in the,4/2/1999,41.461271999999994,-71.77755
29502,2/15/2000 01:30,mahony city (outside),pa,us,light,60,about 1 minute,Two atvs followed by a hovering blue light.,1/29/2002,40.812588,-76.141603
29503,2/15/2000 01:38,flushing/queens,ny,us,egg,60,1 minute,I WAS WALKING HOME FROM THE MOVIES WITH MY FRIEND&#39S&#44 AND WE SAW THESE EGG SHAPED FLYING SHIP&#39S IN THE SKY.,2/27/2000,40.767499,-73.833079
29506,2/15/2000 04:00,petrified forest national park,az,us,oval,15,15 seconds,Landed Craft with strobes and bright light near Petrified Forest,10/30/2006,34.90999,-109.80679199999999
29507,2/15/2000 04:00,petrified forest national park,az,us,oval,15,15 seconds,Petrified Forest strobing ufo,12/7/2006,34.90999,-109.80679199999999
29509,2/15/2000 14:30,bahia blanca&#44 bsas (argentina),,ar,light,0,15,see full description,5/3/2000,-34.611984,-58.49958
29512,2/15/2000 20:00,kosovo,,xk,light,120,2min,There was 3 of us standing outside having a smoke when a light object appeared and hovered over the town for approx 30 secs then sped o,3/11/2006,42.581371999999995,20.889336
29516,2/15/2000 22:30,peru,,,changing,900,15min,It was at night.. summer in my country I was sleeping and my mom woke me up... suddenly a strange object was in the sky movins strangel,8/28/2003,0.0,0.0
