,location
4621,"42.548171, -71.17244699999999"
4640,"0.0, 0.0"
4644,"40.076986, 11.343106"
4653,"0.0, 0.0"
4654,"0.0, 0.0"
4688,"43.61887, -80.144189"
4689,"33.396889, -111.52196"
4692,"35.631159000000004, -98.317285"
4699,"41.573646000000004, -87.646435"
4700,"47.379988, 10.218726"
4704,"40.928744, -80.29514"
4709,"40.575061, -80.201454"
4714,"-21.846664999999998, 19.188005"
4715,"40.928744, -80.29514"
4730,"52.370878000000005, -1.265032"
4742,"0.0, 0.0"
4753,"43.797623, -123.059525"
4767,"35.469115, -97.376857"
4771,"51.394943, -0.19446"
4787,"46.738227, -71.246459"
4791,"42.765189, -76.872096"
4795,"39.505638, -84.735625"
4801,"50.999041, -0.106333"
4805,"40.691613000000004, -112.00105"
4808,"33.521565, -116.457747"
4813,"23.810332, 90.412518"
4816,"29.663546999999998, -85.355475"
4823,"33.894339, -78.426672"
4824,"31.063784000000002, -98.181696"
4850,"35.584324, -78.800013"
4876,"40.417287, -82.907123"
4887,"0.0, 0.0"
4888,"0.0, 0.0"
4890,"43.716962, -83.52274200000001"
4891,"0.0, 0.0"
4893,"54.78535, -7.47427"
4894,"18.466667, -77.916667"
4899,"0.0, 0.0"
4922,"32.735963, -96.275257"
4932,"34.519940000000005, -105.87008999999999"
4944,"34.809422, 37.094260999999996"
4957,"39.550051, -105.782067"
4961,"35.689488, 139.691706"
4964,"34.772013, 32.429737"
4970,"32.165622, -82.900075"
4975,"35.417522999999996, -97.387416"
4976,"43.544596000000006, -96.731103"
4980,"43.544596000000006, -96.731103"
4994,"23.063655999999998, -109.70243799999999"
4998,"21.451331, -158.01528100000002"
5005,"41.42265, -122.386127"
5007,"34.155373, -115.87583500000001"
5008,"43.038618, -82.476888"
5019,"0.0, 0.0"
5048,"42.080698, -72.30743299999999"
5056,"29.663546999999998, -85.355475"
5064,"43.589045, -79.64412"
5069,"19.432608, -99.133208"
5070,"25.187459, 55.405636"
5073,"-0.95, 100.35305600000001"
5090,"31.189344000000002, -85.28604399999999"
5092,"0.0, 0.0"
5093,"0.0, 0.0"
5096,"50.395140000000005, -3.513924"
5106,"0.0, 0.0"
5119,"32.899809000000005, -97.040335"
5128,"37.584154, -76.178374"
5141,"33.240559999999995, -109.283153"
5159,"0.0, 0.0"
5163,"54.695016, -127.04761"
5165,"52.850951, 6.605745"
5168,"53.630506999999994, -122.663428"
5172,"0.0, 0.0"
5184,"37.670087, -77.448346"
5194,"45.404236, -74.03796"
5208,"13.727896, 100.524123"
5211,"49.261226, -123.113927"
5231,"-34.603722999999995, -58.381593"
5254,"37.964253, -91.83183299999999"
5265,"28.635308000000002, 77.22496"
5268,"20.798363000000002, -156.331925"
5274,"45.248945, -68.56835799999999"
5286,"38.224444, -76.753333"
5290,"42.57687, -71.833414"
5296,"37.289694, -113.007021"
5305,"41.611143, -86.722719"
5317,"0.0, 0.0"
5320,"55.779431, -132.817995"
5323,"0.0, 0.0"
5327,"54.13564, -1.527334"
5335,"42.523645, -77.289064"
5336,"31.426299, -110.455256"
5345,"-29.85868, 31.02184"
5346,"45.305771, -73.25449"
5351,"36.510071, -4.882447"
5353,"36.700833, -81.444722"
5355,"0.0, 0.0"
5383,"37.967836, -122.332649"
5387,"0.0, 0.0"
5402,"59.91386899999999, 10.752245"
5405,"49.283763, -122.79320600000001"
5407,"31.554606, 74.357158"
5424,"35.752468, -120.69628300000001"
5441,"36.663447, -87.47739"
5446,"35.799898, -75.59405799999999"
5447,"0.0, 0.0"
5449,"48.366615, -123.706823"
5452,"46.537476, -87.395211"
5481,"0.0, 0.0"
5486,"38.078918, 13.512364999999999"
5489,"42.392971, -81.84297099999999"
5493,"19.541791, -155.10101799999998"
5496,"28.314173999999998, -80.681998"
5516,"47.692526, -114.16578100000001"
5519,"46.729553, -94.6859"
5534,"48.208174, 16.373819"
5537,"7.189464, 79.858734"
5559,"22.572646, 88.363895"
5561,"45.901953999999996, -115.723743"
5566,"3.1390029999999998, 101.68685500000001"
5569,"19.340018, 73.77573199999999"
5571,"29.393013, -98.23723299999999"
5577,"35.650789, -117.66173"
