,location
7962,"51.433333000000005, -1.0"
7964,"51.514125, -0.093689"
7982,"54.91194399999999, -1.383333"
7986,"59.402434, 17.946482"
7994,"43.604652, 1.444209"
8018,"53.0, -2.183333"
8028,"51.517083, 0.578411"
8067,"55.40375600000001, 10.40237"
8149,"44.086667, 26.636667"
8167,"51.386322, 0.551438"
8168,"51.386322, 0.551438"
8179,"50.783333, -0.466667"
8180,"0.0, 0.0"
8182,"-34.928661, 138.598633"
8183,"54.95268000000001, -1.6034110000000001"
8184,"52.314994, 1.661398"
8189,"55.838322999999995, -3.935489"
8197,"0.0, 0.0"
8203,"51.514125, -0.093689"
8237,"52.966667, -1.166667"
8250,"5.852036, -55.203828"
8251,"-33.652489, 115.345497"
8255,"0.0, 0.0"
8258,"51.883333, -0.516667"
8259,"0.0, 0.0"
8271,"15.783470999999999, -90.23075899999999"
8272,"32.162413, 34.844675"
8274,"41.65, 60.3"
8285,"50.7, -3.5333330000000003"
8286,"-37.822891, 147.610413"
8291,"-33.861481, 151.205475"
8292,"34.083658, 74.797368"
8299,"53.273014, -2.7694259999999997"
8304,"-33.861481, 151.205475"
8315,"32.427908, 53.68804599999999"
8325,"53.768508999999995, -2.42362"
8338,"53.533333, -0.05"
8343,"51.379444, -2.365556"
8344,"33.729388, 73.09314599999999"
8347,"56.11666700000001, -5.483333"
8357,"52.355518, -1.17432"
8363,"51.25, 0.75"
8364,"-33.861481, 151.205475"
8367,"53.1, 9.15"
8369,"51.633333, -3.9666669999999997"
8403,"53.845, -2.204"
8413,"0.0, 0.0"
8421,"53.416667000000004, -3.0"
8426,"0.0, 0.0"
8441,"0.0, 0.0"
8448,"-35.0, 138.633333"
8468,"51.38847, -0.416969"
8469,"19.997453, 73.78980200000001"
8470,"0.0, 0.0"
8476,"0.0, 0.0"
8481,"54.68715600000001, 25.279651"
8487,"-20.917574, 142.702796"
8488,"51.683525, -1.424906"
8507,"20.653407, -105.22533200000001"
8518,"5.55, -0.2"
8530,"40.203315, -8.410257000000001"
8567,"53.356083, -2.212708"
8573,"-15.851148, -48.958874"
8664,"0.0, 0.0"
8686,"48.208174, 16.373819"
8692,"16.054407, 108.20216699999999"
8694,"0.0, 0.0"
8703,"44.4325, 26.103889000000002"
8706,"0.0, 0.0"
8708,"53.292790000000004, -6.141937"
8710,"0.0, 0.0"
8718,"53.954115, -1.064262"
8722,"41.318765, -73.056398"
8723,"0.0, 0.0"
8736,"-33.861481, 151.205475"
8756,"53.533333, -0.05"
8758,"35.296832, -93.685778"
8763,"52.583332999999996, -2.1333330000000004"
8778,"53.25, -1.416667"
8782,"-27.471009999999996, 153.024292"
8785,"51.514125, -0.093689"
8788,"52.355518, -1.17432"
8790,"43.458858, 1.399356"
8793,"31.071254999999997, 108.070097"
8795,"12.879721, 121.77401699999999"
8807,"54.766667000000005, -1.566667"
8816,"18.520429999999998, 73.85674399999999"
8818,"35.051532, 24.873037"
8827,"53.666667000000004, -3.0"
8839,"-23.550520000000002, -46.633309000000004"
8872,"27.7, 85.333333"
8890,"53.25, -2.1166669999999996"
8922,"-17.383333, -66.166667"
8925,"-33.480942, 145.534348"
8936,"48.601914, 5.66551"
8943,"-19.924519, -43.935269"
8951,"0.0, 0.0"
8953,"51.733333, -2.3666669999999996"
8958,"37.715348999999996, -97.409008"
8961,"0.0, 0.0"
8984,"51.508515, -0.125487"
8986,"53.0, -2.183333"
8992,"-20.347782000000002, -40.294953"
8995,"55.833332999999996, -3.85"
9002,"52.516667000000005, -3.3"
9003,"52.116667, -0.283333"
9028,"50.950111, 5.907947"
9037,"0.0, 0.0"
9041,"12.568375, 99.957689"
9042,"-27.471009999999996, 153.024292"
9053,"9.916667, -68.3"
9096,"52.65414499999999, -7.244788000000001"
9098,"51.514125, -0.093689"
9101,"52.63333299999999, 1.3"
9103,"52.966667, -1.166667"
9152,"38.964253, 121.580234"
9153,"-37.813938, 144.963425"
9156,"38.76376, 30.540340000000004"
9181,"51.283333, 10.6"
9185,"-31.952240000000003, 115.861397"
9186,"40.114719, -8.244003999999999"
9206,"-34.443111, 116.03688799999999"
9210,"-32.387878, 150.689346"
9221,"10.327078, -84.435671"
9231,"0.0, 0.0"
9248,"32.514947, -117.038247"
9249,"23.810332, 90.412518"
9256,"52.664913, -1.034894"
9270,"53.533333, -1.116667"
9276,"39.920770000000005, 32.85411"
9326,"60.631811, 24.857882999999998"
9333,"56.2, -3.183333"
9335,"59.26756999999999, 10.407561"
9339,"51.514125, -0.093689"
9352,"51.5, -3.2"
9354,"13.052414, 80.250825"
9369,"-34.45, 138.35"
9371,"0.0, 0.0"
9385,"-37.2, 144.1"
9389,"37.665876000000004, -91.847933"
9398,"42.708909999999996, 1.864656"
9423,"51.514125, -0.093689"
9443,"26.216666999999998, 50.583333"
9471,"51.916667, -0.65"
9484,"0.0, 0.0"
9485,"-37.813938, 144.963425"
9509,"-25.274398, 133.775136"
9511,"-31.952240000000003, 115.861397"
9526,"32.968388, -80.051162"
9532,"42.438241999999995, 23.816172"
9564,"39.99695, -82.46993"
9573,"-19.135865, 146.842356"
9577,"54.574227, -1.234956"
9581,"51.25, 0.75"
9588,"-33.861481, 151.205475"
9592,"51.514125, -0.093689"
9595,"-34.928661, 138.598633"
9598,"53.166667000000004, -0.25"
9613,"51.25, -1.916667"
9620,"18.520429999999998, 73.85674399999999"
9621,"37.566534999999995, 126.97796899999999"
9625,"55.617559, 9.312292"
9628,"-35.125771, 147.353745"
9636,"55.833332999999996, -4.25"
9638,"-37.207279, 175.871152"
9641,"51.514125, -0.093689"
9647,"0.0, 0.0"
9653,"46.043248, 4.044544999999999"
9657,"51.508515, -0.125487"
9663,"52.416667, -1.7833330000000003"
9674,"53.456306999999995, -2.737095"
9708,"52.61666700000001, -1.6833330000000002"
9709,"42.657798, 21.153346"
9714,"34.70713, 33.022617"
9724,"0.0, 0.0"
9730,"52.966667, -1.8833330000000001"
9750,"13.052414, 80.250825"
